Ano 	Escola campeã 	N.º 	Enredo 	Carnavalesco(a) 	Escola vice-campeã 
1932	Estação Primeira de Mangueira 	1	Sorrindo ou Na Floresta 	* 	Portela;Para o Ano Sai Melhor [EXTINTA] 
1933	Estação Primeira de Mangueira 	2	Uma Segunda-feira no Bonfim da Bahia 	Pedro Palheta; Maçu da Mangueira 	Azul e Branco do Salgueiro [EXTINTA] 
1934	Estação Primeira de Mangueira	3	Divina Dama ou República da Orgia 	Comissão de carnaval	Portela 
1934	Recreio de Ramos [EXTINTA] 	1	* 	* 	Unidos da Tijuca
1935	Portela 	1	O Samba Dominando o Mundo 	Antônio Caetano 	Estação Primeira de Mangueira 
1936	Unidos da Tijuca 	1	Sonhos Delirantes 	* 	Estação Primeira de Mangueira 
1937	Vizinha Faladeira 	1	Uma Só Bandeira 	* 	Portela 
1939	Portela 	2	Teste ao Samba 	Paulo da Portela 	Estação Primeira de Mangueira 
1940	Estação Primeira de Mangueira 	4	Prantos, Pretos e Poetas 	* 	Mocidade Louca de São Cristóvão [EXTINTA] 
1941	Portela 	3	Dez Anos de Glórias 	Paulo da Portela; Lino Manoel dos Reis 	Estação Primeira de Mangueira 
1942	Portela 	4	A Vida do Samba 	Lino Manoel dos Reis 	Depois Eu Digo [EXTINTA] 
1943	Portela 	5	Carnaval de Guerra 	Liga da Defesa Nacional 	Estação Primeira de Mangueira 
1944	Portela 	6	Brasil Glorioso 	Liga da Defesa Nacional 	Estação Primeira de Mangueira 
1945	Portela 	7	Motivos Patrióticos 	Liga da Defesa Nacional 	Estação Primeira de Mangueira 
1946	Portela 	8	Alvorada do Novo Mundo 	Lino Manoel dos Reis 	Estação Primeira de Mangueira 
1947	Portela 	9	Honra ao Mérito 	Euzébio; Lino Manoel dos Reis 	Estação Primeira de Mangueira 
1948	Império Serrano 	1	Homenagem a Antônio Castro Alves 	* 	Unidos da Tijuca 
1949	Império Serrano	2	Exaltação a Tiradentes 	* 	Azul e Branco do Salgueiro [EXTINTA] 
1949	Estação Primeira de Mangueira] 	5	Apologia aos Mestres 	* 	Portela
1950	Império Serrano 	3	Batalha Naval do Riachuelo 	* 	Aprendizes de Lucas [EXTINTA] 
1950	Estação Primeira de Mangueira 	6	Plano SALTE — Saúde, Lavoura, Transporte e Educação 	* 	Portela
1950	Prazer da Serrinha [EXTINTA] 	1	* 	* 	Paz e Amor [EXTINTA]; Três Mosqueteiros [EXTINTA]; Depois Eu Digo [EXTINTA]; Unidos da Tamarineira [EXTINTA]; Unidos de Congonhas [EXTINTA]
1950	Unidos da Capela [EXTINTA] 	1	* 	*	Paz e Amor [EXTINTA]; Três Mosqueteiros [EXTINTA]; Depois Eu Digo [EXTINTA]; Unidos da Tamarineira [EXTINTA]; Unidos de Congonhas [EXTINTA]
1951	Império Serrano	4	Sessenta e Um Anos de República 	* 	Aprendizes de Lucas [EXTINTA] 
1951	Portela 	10	A Volta do Filho Pródigo 	Lino Manoel dos Reis 	Três Mosqueteiros [EXTINTA]
1953	Portela 	11	As Seis Datas Magnas 	Lino Manoel dos Reis 	Império Serrano 
1954	Estação Primeira de Mangueira 	7	Rio de Janeiro de Ontem e Hoje 	* 	Império Serrano 
1955	Império Serrano 	5	Exaltação a Caxias 	* 	Estação Primeira de Mangueira 
1956	Império Serrano 	6	Caçador de Esmeraldas ou Sonhos das Esmeraldas 	* 	Portela 
1957	Portela 	12	Legados de D. João VI 	Djalma Vogue; Candeia; Joacir 	Império Serrano 
1958	Portela 	13	Vultos e Efemérides do Brasil 	Djalma Vogue 	Império Serrano 
1959	Portela 	14	Brasil, Panteon de Glórias 	Djalma Vogue 	Acadêmicos do Salgueiro 
1960	Portela 	15	Rio, Capital Eterna do Samba ou Rio, Cidade Eterna 	Djalma Vogue 	Aprendizes de Lucas [EXTINTA] 
1960	Estação Primeira de Mangueira 	8	Glória ao Samba ou Carnaval de Todos os Tempos 	*	Aprendizes de Lucas [EXTINTA] 
1960	Acadêmicos do Salgueiro 	1	Quilombo dos Palmares 	Fernando Pamplona; Arlindo Rodrigues; Newton de Sá	Aprendizes de Lucas [EXTINTA] 
1960	Unidos da Capela [EXTINTA] 	2	Produtos e Costumes de Nossa Terra 	João Moleque	Aprendizes de Lucas [EXTINTA] 
1960	Império Serrano 	7	Medalhas e Brasões 	* 	Aprendizes de Lucas [EXTINTA] 
1961	Estação Primeira de Mangueira 	9	Reminiscências do Rio Antigo 	* 	Acadêmicos do Salgueiro 
1962	Portela 	16	Rugendas ou Viagens Pitorescas Através do Brasil 	Nelson de Andrade 	Império Serrano 
1963	Acadêmicos do Salgueiro 	2	Chica da Silva 	Arlindo Rodrigues 	Estação Primeira de Mangueira 
1964	Portela 	17	O Segundo Casamento de D. Pedro I 	Nelson de Andrade 	Acadêmicos do Salgueiro 
1965	Acadêmicos do Salgueiro 	3	História do Carnaval Carioca - Eneida 	Fernando Pamplona; Arlindo Rodrigues 	Império Serrano 
1966	Portela 	18	Memórias de Um Sargento de Milícias 	Nelson de Andrade 	Estação Primeira de Mangueira 
1967	Estação Primeira de Mangueira 	10	O Mundo Encantado de Monteiro Lobato 	Júlio Mattos 	Império Serrano 
1968	Estação Primeira de Mangueira 	11	Samba, Festa de Um Povo 	Júlio Mattos 	Império Serrano 
1969	Acadêmicos do Salgueiro 	4	Bahia de Todos os Deuses 	Fernando Pamplona; Arlindo Rodrigues 	Estação Primeira de Mangueira 
1970	Portela 	19	Lendas e Mistérios da Amazônia 	Clóvis Bornay; Arnaldo Pederneiras 	Acadêmicos do Salgueiro 
1971	Acadêmicos do Salgueiro 	5	Festa Para Um Rei Negro 	Fernando Pamplona; Arlindo Rodrigues; Maria Augusta; Joãsinho Trinta 	Portela 
1972	Império Serrano 	8	Alô, Alô, Taí Carmem Miranda 	Fernando Pinto 	Estação Primeira de Mangueira
1973	Estação Primeira de Mangueira 	12	Lendas do Abaeté 	Júlio Mattos 	Império Serrano 
1974	Acadêmicos do Salgueiro 	6	O Rei de França na Ilha da Assombração 	Joãosinho Trinta; Maria Augusta 	Portela 
1975	Acadêmicos do Salgueiro 	7	O Segredo das Minas do Rei Salomão 	Joãosinho Trinta 	Estação Primeira de Mangueira 
